Date,Close,Date,High,Date,Low,Date,Open
18/05/2020 16:00:00,69.26,18/05/2020 16:00:00,69.64,18/05/2020 16:00:00,67.71,18/05/2020 16:00:00,68.08
19/05/2020 16:00:00,68.72,19/05/2020 16:00:00,69.62,19/05/2020 16:00:00,68.69,19/05/2020 16:00:00,69.27
20/05/2020 16:00:00,70.46,20/05/2020 16:00:00,70.6,20/05/2020 16:00:00,69.37,20/05/2020 16:00:00,69.46
21/05/2020 16:00:00,70.34,21/05/2020 16:00:00,70.82,21/05/2020 16:00:00,69.72,21/05/2020 16:00:00,70.55
22/05/2020 16:00:00,70.66,22/05/2020 16:00:00,70.85,22/05/2020 16:00:00,69.8,22/05/2020 16:00:00,70.19
26/05/2020 16:00:00,71.07,26/05/2020 16:00:00,72.26,26/05/2020 16:00:00,70.97,26/05/2020 16:00:00,72.1
27/05/2020 16:00:00,71.01,27/05/2020 16:00:00,71.27,27/05/2020 16:00:00,69.73,27/05/2020 16:00:00,71
28/05/2020 16:00:00,70.91,28/05/2020 16:00:00,72.22,28/05/2020 16:00:00,69.95,28/05/2020 16:00:00,70
29/05/2020 16:00:00,71.68,29/05/2020 16:00:00,71.84,29/05/2020 16:00:00,70.8,29/05/2020 16:00:00,71.02
01/06/2020 16:00:00,71.74,01/06/2020 16:00:00,72.08,01/06/2020 16:00:00,71.11,01/06/2020 16:00:00,71.29
02/06/2020 16:00:00,72.12,02/06/2020 16:00:00,72.15,02/06/2020 16:00:00,71.08,02/06/2020 16:00:00,71.75
03/06/2020 16:00:00,71.96,03/06/2020 16:00:00,72.45,03/06/2020 16:00:00,71.58,03/06/2020 16:00:00,72.14
04/06/2020 16:00:00,70.72,04/06/2020 16:00:00,72.07,04/06/2020 16:00:00,70.3,04/06/2020 16:00:00,71.84
05/06/2020 16:00:00,72,05/06/2020 16:00:00,72.32,05/06/2020 16:00:00,70.38,05/06/2020 16:00:00,70.78
08/06/2020 16:00:00,72.4,08/06/2020 16:00:00,72.45,08/06/2020 16:00:00,71.22,08/06/2020 16:00:00,71.31
09/06/2020 16:00:00,72.6,09/06/2020 16:00:00,73.39,09/06/2020 16:00:00,72.12,09/06/2020 16:00:00,72.26
10/06/2020 16:00:00,73.24,10/06/2020 16:00:00,73.64,10/06/2020 16:00:00,72.72,10/06/2020 16:00:00,73.08
11/06/2020 16:00:00,70.1,11/06/2020 16:00:00,72.58,11/06/2020 16:00:00,69.92,11/06/2020 16:00:00,72.05
12/06/2020 16:00:00,70.65,12/06/2020 16:00:00,71.73,12/06/2020 16:00:00,69.29,12/06/2020 16:00:00,71.29
15/06/2020 16:00:00,71.04,15/06/2020 16:00:00,71.25,15/06/2020 16:00:00,69.36,15/06/2020 16:00:00,69.47
16/06/2020 16:00:00,72.32,16/06/2020 16:00:00,72.86,16/06/2020 16:00:00,71.45,16/06/2020 16:00:00,72.45
17/06/2020 16:00:00,72.63,17/06/2020 16:00:00,73.11,17/06/2020 16:00:00,71.76,17/06/2020 16:00:00,72.65
18/06/2020 16:00:00,71.71,18/06/2020 16:00:00,72.65,18/06/2020 16:00:00,71.31,18/06/2020 16:00:00,72.49
19/06/2020 16:00:00,71.23,19/06/2020 16:00:00,72.22,19/06/2020 16:00:00,70.95,19/06/2020 16:00:00,72
22/06/2020 16:00:00,72.53,22/06/2020 16:00:00,72.55,22/06/2020 16:00:00,70.96,22/06/2020 16:00:00,71.25
23/06/2020 16:00:00,73.2,23/06/2020 16:00:00,73.76,23/06/2020 16:00:00,72.25,23/06/2020 16:00:00,72.6
24/06/2020 16:00:00,71.64,24/06/2020 16:00:00,73.79,24/06/2020 16:00:00,71.5,24/06/2020 16:00:00,73.16
25/06/2020 16:00:00,72.06,25/06/2020 16:00:00,72.12,25/06/2020 16:00:00,70.98,25/06/2020 16:00:00,71.56
26/06/2020 16:00:00,68.13,26/06/2020 16:00:00,71.85,26/06/2020 16:00:00,67.75,26/06/2020 16:00:00,71.63
29/06/2020 16:00:00,69.86,29/06/2020 16:00:00,69.9,29/06/2020 16:00:00,67.58,29/06/2020 16:00:00,68.02
30/06/2020 16:00:00,70.9,30/06/2020 16:00:00,71.2,30/06/2020 16:00:00,69.35,30/06/2020 16:00:00,69.84
01/07/2020 16:00:00,72.1,01/07/2020 16:00:00,72.42,01/07/2020 16:00:00,70.71,01/07/2020 16:00:00,70.96
02/07/2020 16:00:00,73.5,02/07/2020 16:00:00,74.43,02/07/2020 16:00:00,72.55,02/07/2020 16:00:00,72.59
06/07/2020 16:00:00,74.98,06/07/2020 16:00:00,75.5,06/07/2020 16:00:00,73.85,06/07/2020 16:00:00,74.41
07/07/2020 16:00:00,74.5,07/07/2020 16:00:00,76.07,07/07/2020 16:00:00,74.49,07/07/2020 16:00:00,74.81
08/07/2020 16:00:00,75.18,08/07/2020 16:00:00,75.56,08/07/2020 16:00:00,74.61,08/07/2020 16:00:00,75.04
09/07/2020 16:00:00,75.93,09/07/2020 16:00:00,76.46,09/07/2020 16:00:00,74.78,09/07/2020 16:00:00,75.5
10/07/2020 16:00:00,76.95,10/07/2020 16:00:00,77.07,10/07/2020 16:00:00,75.04,10/07/2020 16:00:00,75.66
13/07/2020 16:00:00,75.61,13/07/2020 16:00:00,78.82,13/07/2020 16:00:00,75.33,13/07/2020 16:00:00,77.5
14/07/2020 16:00:00,76.04,14/07/2020 16:00:00,76.14,14/07/2020 16:00:00,74.3,14/07/2020 16:00:00,74.64
15/07/2020 16:00:00,75.84,15/07/2020 16:00:00,76.82,15/07/2020 16:00:00,74.89,15/07/2020 16:00:00,76.16
16/07/2020 16:00:00,75.75,16/07/2020 16:00:00,75.8,16/07/2020 16:00:00,74.41,16/07/2020 16:00:00,75.08
17/07/2020 16:00:00,75.84,17/07/2020 16:00:00,76.17,17/07/2020 16:00:00,74.91,17/07/2020 16:00:00,75.85
20/07/2020 16:00:00,78.19,20/07/2020 16:00:00,78.45,20/07/2020 16:00:00,75.13,20/07/2020 16:00:00,75.75
